Dimension,Item,C,P,E,HO,ULM,I,G,SY,R,NPH,EUR,W,D,EM,PDS
Day,6/1/2017,2254,7894,1006,4371,879,620,1339,662,586,1094,2639,1110,900,1632,1755
Day,6/2/2017,1484,4715,697,2831,572,383,831,488,415,676,1642,689,555,1044,1089
Day,6/3/2017,726,2710,365,1609,307,206,446,245,273,361,841,344,301,677,619
Day,6/4/2017,898,3147,446,2560,416,255,565,315,304,474,1063,479,366,734,738
Day,6/5/2017,1787,5134,830,4406,663,470,931,485,557,767,1973,823,591,1181,1216
Day,6/6/2017,2767,8411,1166,5898,1203,871,1501,723,858,1114,2868,1259,838,1901,2023
Day,6/7/2017,2415,8563,1155,5793,1067,713,1429,736,734,1223,2889,1341,995,1952,2005
Day,6/8/2017,2370,7800,1153,5368,922,646,1282,597,682,1092,2459,1188,1036,1868,1781
Day,6/9/2017,1547,4716,785,3365,643,420,784,459,438,705,1693,790,666,1243,1083
Day,6/10/2017,698,2632,464,1553,363,210,447,275,255,366,851,369,323,734,563
Day,6/11/2017,935,2968,506,1792,405,264,431,302,278,420,1067,442,359,908,748
Day,6/12/2017,2332,6129,2007,4348,797,519,994,521,573,975,2198,982,725,1563,1885
Day,6/13/2017,4018,6196,2455,5156,1462,1306,1250,897,602,1331,2473,961,901,2083,2070
Day,6/14/2017,6223,9343,3085,6381,2586,2541,1744,1635,791,2028,3832,1433,1654,3135,3175
Day,6/15/2017,6388,8989,3000,6151,2679,2875,1822,1733,780,2002,3835,1434,1760,3206,2962
Day,6/16/2017,4462,5602,2113,4349,1920,2000,1236,1209,530,1420,2463,999,1148,2191,1947
Day,6/17/2017,2296,2986,1087,1970,1068,1092,658,609,284,733,1302,499,582,1248,965
Day,6/18/2017,2646,3216,1279,2216,1180,1180,724,651,315,858,1467,519,617,1364,1022
Day,6/19/2017,5077,5718,2490,4806,2258,2208,1490,1277,617,1572,2681,1080,1195,2359,2114
Day,6/20/2017,5066,5485,2356,4755,2178,2151,1423,1245,612,1570,2631,979,1072,2361,1997
Day,6/21/2017,6826,8932,3142,6969,3160,3206,1914,1809,803,2068,4006,1384,1858,3471,3069
Day,6/22/2017,7103,8952,3206,7250,3368,3243,1853,1959,779,2053,4101,1406,1863,3400,3090
Day,6/23/2017,4887,5323,2094,4668,2344,2085,1263,1224,579,1410,2532,862,1130,2310,1879
Day,6/24/2017,2590,2941,1086,2186,1224,1106,699,646,306,744,1311,484,567,1300,939
Day,6/25/2017,2934,3158,1189,2429,1476,1266,805,717,314,809,1492,526,613,1480,990
Day,6/26/2017,5242,5249,2231,4971,2494,2126,1431,1291,590,1479,2576,979,1102,2426,1864
Day,6/27/2017,5299,5452,2220,4848,2558,2115,1431,1240,617,1448,2724,991,1130,2441,1910
Day,6/28/2017,8074,9162,3360,7168,3668,3358,2036,2205,849,2086,4127,1697,1892,3699,3135
Day,6/29/2017,8266,8885,3329,6685,3758,3518,2127,2328,946,2051,4108,1718,1988,3517,3067
Day,6/30/2017,5009,5196,2062,4244,2359,2237,1441,1414,598,1310,2494,983,1279,2213,1776
