Flight,Date,Banner/CC Name,Id,Impressions
H-,6/1/2017,H-728X90-TB,1,559
H-,6/1/2017,H-300X250-MR,2,537
H-,6/2/2017,H-728X90-TB,1,420
H-,6/2/2017,H-300X250-MR,2,400
H-,6/3/2017,H-728X90-TB,1,173
H-,6/3/2017,H-300X250-MR,2,169
H-,6/4/2017,H-728X90-TB,1,225
H-,6/4/2017,H-300X250-MR,2,231
H-,6/5/2017,H-728X90-TB,1,552
H-,6/5/2017,H-300X250-MR,2,567
H-,6/6/2017,H-728X90-TB,1,665
H-,6/6/2017,H-300X250-MR,2,640
H-,6/7/2017,H-728X90-TB,1,743
H-,6/7/2017,H-300X250-MR,2,671
H-,6/8/2017,H-728X90-TB,1,627
H-,6/8/2017,H-300X250-MR,2,604
H-,6/9/2017,H-728X90-TB,1,356
H-,6/9/2017,H-300X250-MR,2,320
H-,6/10/2017,H-728X90-TB,1,193
H-,6/10/2017,H-300X250-MR,2,196
H-,6/11/2017,H-728X90-TB,1,286
H-,6/11/2017,H-300X250-MR,2,246
H-,6/12/2017,H-728X90-TB,1,724
H-,6/12/2017,H-300X250-MR,2,694
H-,6/13/2017,H-728X90-TB,1,1030
H-,6/13/2017,H-300X250-MR,2,1066
H-,6/14/2017,H-728X90-TB,1,1255
H-,6/14/2017,H-300X250-MR,2,1271
H-,6/15/2017,H-728X90-TB,1,1318
H-,6/15/2017,H-300X250-MR,2,1159
H-,6/16/2017,H-728X90-TB,1,924
H-,6/16/2017,H-300X250-MR,2,930
H-,6/17/2017,H-728X90-TB,1,502
H-,6/17/2017,H-300X250-MR,2,418
H-,6/18/2017,H-728X90-TB,1,641
H-,6/18/2017,H-300X250-MR,2,662
H-,6/19/2017,H-728X90-TB,1,1200
H-,6/19/2017,H-300X250-MR,2,1199
H-,6/20/2017,H-728X90-TB,1,1200
H-,6/20/2017,H-300X250-MR,2,1085
H-,6/21/2017,H-728X90-TB,1,1649
H-,6/21/2017,H-300X250-MR,2,1665
H-,6/22/2017,H-728X90-TB,1,1398
H-,6/22/2017,H-300X250-MR,2,1307
H-,6/23/2017,H-728X90-TB,1,911
H-,6/23/2017,H-300X250-MR,2,817
H-,6/24/2017,H-728X90-TB,1,634
H-,6/24/2017,H-300X250-MR,2,555
H-,6/25/2017,H-728X90-TB,1,736
H-,6/25/2017,H-300X250-MR,2,659
H-,6/26/2017,H-728X90-TB,1,1247
H-,6/26/2017,H-300X250-MR,2,1103
H-,6/27/2017,H-728X90-TB,1,1186
H-,6/27/2017,H-300X250-MR,2,1176
H-,6/28/2017,H-728X90-TB,1,1446
H-,6/28/2017,H-300X250-MR,2,1529
H-,6/29/2017,H-728X90-TB,1,1612
H-,6/29/2017,H-300X250-MR,2,1503
H-,6/30/2017,H-728X90-TB,1,1035
H-,6/30/2017,H-300X250-MR,2,945
