Flight,Date,Banner/CC Name,Id,Impressions
A-,6/1/2017,A-728X90-TB,1,415
A-,6/1/2017,A-300X250-MR,2,456
A-,6/2/2017,A-728X90-TB,1,356
A-,6/2/2017,A-300X250-MR,2,313
A-,6/3/2017,A-728X90-TB,1,149
A-,6/3/2017,A-300X250-MR,2,144
A-,6/4/2017,A-728X90-TB,1,234
A-,6/4/2017,A-300X250-MR,2,239
A-,6/5/2017,A-728X90-TB,1,390
A-,6/5/2017,A-300X250-MR,2,410
A-,6/6/2017,A-728X90-TB,1,460
A-,6/6/2017,A-300X250-MR,2,436
A-,6/7/2017,A-728X90-TB,1,513
A-,6/7/2017,A-300X250-MR,2,528
A-,6/8/2017,A-728X90-TB,1,403
A-,6/8/2017,A-300X250-MR,2,344
A-,6/9/2017,A-728X90-TB,1,287
A-,6/9/2017,A-300X250-MR,2,254
A-,6/10/2017,A-728X90-TB,1,119
A-,6/10/2017,A-300X250-MR,2,108
A-,6/11/2017,A-728X90-TB,1,208
A-,6/11/2017,A-300X250-MR,2,169
A-,6/12/2017,A-728X90-TB,1,353
A-,6/12/2017,A-300X250-MR,2,355
A-,6/13/2017,A-728X90-TB,1,465
A-,6/13/2017,A-300X250-MR,2,440
A-,6/14/2017,A-728X90-TB,1,492
A-,6/14/2017,A-300X250-MR,2,494
A-,6/15/2017,A-728X90-TB,1,537
A-,6/15/2017,A-300X250-MR,2,463
A-,6/16/2017,A-728X90-TB,1,337
A-,6/16/2017,A-300X250-MR,2,340
A-,6/17/2017,A-728X90-TB,1,168
A-,6/17/2017,A-300X250-MR,2,132
A-,6/18/2017,A-728X90-TB,1,160
A-,6/18/2017,A-300X250-MR,2,156
A-,6/19/2017,A-728X90-TB,1,419
A-,6/19/2017,A-300X250-MR,2,431
A-,6/20/2017,A-728X90-TB,1,526
A-,6/20/2017,A-300X250-MR,2,539
A-,6/21/2017,A-728X90-TB,1,677
A-,6/21/2017,A-300X250-MR,2,630
A-,6/22/2017,A-728X90-TB,1,465
A-,6/22/2017,A-300X250-MR,2,513
A-,6/23/2017,A-728X90-TB,1,381
A-,6/23/2017,A-300X250-MR,2,363
A-,6/24/2017,A-728X90-TB,1,203
A-,6/24/2017,A-300X250-MR,2,173
A-,6/25/2017,A-728X90-TB,1,184
A-,6/25/2017,A-300X250-MR,2,178
A-,6/26/2017,A-728X90-TB,1,393
A-,6/26/2017,A-300X250-MR,2,450
A-,6/27/2017,A-728X90-TB,1,479
A-,6/27/2017,A-300X250-MR,2,479
A-,6/28/2017,A-728X90-TB,1,523
A-,6/28/2017,A-300X250-MR,2,508
A-,6/29/2017,A-728X90-TB,1,453
A-,6/29/2017,A-300X250-MR,2,465
A-,6/30/2017,A-728X90-TB,1,318
A-,6/30/2017,A-300X250-MR,2,308
