Flight,Date,Banner/CC Name,Id,Impressions
B-,6/1/2017,B-728X90-TB,1,532
B-,6/1/2017,B-300X250-MR,2,516
B-,6/1/2017,B-728X90-Adhesive,3,71
B-,6/2/2017,B-728X90-TB,1,389
B-,6/2/2017,B-300X250-MR,2,375
B-,6/2/2017,B-728X90-Adhesive,3,70
B-,6/3/2017,B-728X90-TB,1,164
B-,6/3/2017,B-300X250-MR,2,161
B-,6/3/2017,B-728X90-Adhesive,3,29
B-,6/4/2017,B-728X90-TB,1,265
B-,6/4/2017,B-300X250-MR,2,258
B-,6/4/2017,B-728X90-Adhesive,3,39
B-,6/5/2017,B-728X90-TB,1,514
B-,6/5/2017,B-300X250-MR,2,501
B-,6/5/2017,B-728X90-Adhesive,3,127
B-,6/6/2017,B-728X90-TB,1,603
B-,6/6/2017,B-300X250-MR,2,583
B-,6/6/2017,B-728X90-Adhesive,3,134
B-,6/7/2017,B-728X90-TB,1,658
B-,6/7/2017,B-300X250-MR,2,636
B-,6/7/2017,B-728X90-Adhesive,3,156
B-,6/8/2017,B-728X90-TB,1,500
B-,6/8/2017,B-300X250-MR,2,474
B-,6/8/2017,B-728X90-Adhesive,3,100
B-,6/9/2017,B-728X90-TB,1,345
B-,6/9/2017,B-300X250-MR,2,340
B-,6/9/2017,B-728X90-Adhesive,3,73
B-,6/10/2017,B-728X90-TB,1,144
B-,6/10/2017,B-300X250-MR,2,141
B-,6/10/2017,B-728X90-Adhesive,3,47
B-,6/11/2017,B-728X90-TB,1,234
B-,6/11/2017,B-300X250-MR,2,231
B-,6/11/2017,B-728X90-Adhesive,3,46
B-,6/12/2017,B-728X90-TB,1,382
B-,6/12/2017,B-300X250-MR,2,377
B-,6/12/2017,B-728X90-Adhesive,3,81
B-,6/13/2017,B-728X90-TB,1,533
B-,6/13/2017,B-300X250-MR,2,519
B-,6/13/2017,B-728X90-Adhesive,3,124
B-,6/14/2017,B-728X90-TB,1,604
B-,6/14/2017,B-300X250-MR,2,591
B-,6/14/2017,B-728X90-Adhesive,3,113
B-,6/15/2017,B-728X90-TB,1,627
B-,6/15/2017,B-300X250-MR,2,626
B-,6/15/2017,B-728X90-Adhesive,3,95
B-,6/16/2017,B-728X90-TB,1,408
B-,6/16/2017,B-300X250-MR,2,399
B-,6/16/2017,B-728X90-Adhesive,3,77
B-,6/17/2017,B-728X90-TB,1,183
B-,6/17/2017,B-300X250-MR,2,180
B-,6/17/2017,B-728X90-Adhesive,3,59
B-,6/18/2017,B-728X90-TB,1,187
B-,6/18/2017,B-300X250-MR,2,185
B-,6/18/2017,B-728X90-Adhesive,3,52
B-,6/19/2017,B-728X90-TB,1,486
B-,6/19/2017,B-300X250-MR,2,477
B-,6/19/2017,B-728X90-Adhesive,3,96
B-,6/20/2017,B-728X90-TB,1,648
B-,6/20/2017,B-300X250-MR,2,640
B-,6/20/2017,B-728X90-Adhesive,3,102
B-,6/21/2017,B-728X90-TB,1,812
B-,6/21/2017,B-300X250-MR,2,793
B-,6/21/2017,B-728X90-Adhesive,3,83
B-,6/22/2017,B-728X90-TB,1,592
B-,6/22/2017,B-300X250-MR,2,583
B-,6/22/2017,B-728X90-Adhesive,3,80
B-,6/23/2017,B-728X90-TB,1,429
B-,6/23/2017,B-300X250-MR,2,424
B-,6/23/2017,B-728X90-Adhesive,3,53
B-,6/24/2017,B-728X90-TB,1,247
B-,6/24/2017,B-300X250-MR,2,242
B-,6/24/2017,B-728X90-Adhesive,3,31
B-,6/25/2017,B-728X90-TB,1,195
B-,6/25/2017,B-300X250-MR,2,194
B-,6/25/2017,B-728X90-Adhesive,3,39
B-,6/26/2017,B-728X90-TB,1,441
B-,6/26/2017,B-300X250-MR,2,434
B-,6/26/2017,B-728X90-Adhesive,3,109
B-,6/27/2017,B-728X90-TB,1,503
B-,6/27/2017,B-300X250-MR,2,491
B-,6/27/2017,B-728X90-Adhesive,3,130
B-,6/28/2017,B-728X90-TB,1,575
B-,6/28/2017,B-300X250-MR,2,567
B-,6/28/2017,B-728X90-Adhesive,3,88
B-,6/29/2017,B-728X90-TB,1,555
B-,6/29/2017,B-300X250-MR,2,536
B-,6/29/2017,B-728X90-Adhesive,3,93
B-,6/30/2017,B-728X90-TB,1,308
B-,6/30/2017,B-300X250-MR,2,302
B-,6/30/2017,B-728X90-Adhesive,3,63
