Flight,Date,Banner/CC Name,Id,Impressions
L-,6/1/2017,L-728X90-TB,1,230
L-,6/1/2017,L-300X250-MR,2,219
L-,6/2/2017,L-728X90-TB,1,169
L-,6/2/2017,L-300X250-MR,2,142
L-,6/3/2017,L-728X90-TB,1,91
L-,6/3/2017,L-300X250-MR,2,63
L-,6/4/2017,L-728X90-TB,1,108
L-,6/4/2017,L-300X250-MR,2,107
L-,6/5/2017,L-728X90-TB,1,234
L-,6/5/2017,L-300X250-MR,2,282
L-,6/6/2017,L-728X90-TB,1,225
L-,6/6/2017,L-300X250-MR,2,229
L-,6/7/2017,L-728X90-TB,1,287
L-,6/7/2017,L-300X250-MR,2,320
L-,6/8/2017,L-728X90-TB,1,243
L-,6/8/2017,L-300X250-MR,2,233
L-,6/9/2017,L-728X90-TB,1,175
L-,6/9/2017,L-300X250-MR,2,187
L-,6/10/2017,L-728X90-TB,1,84
L-,6/10/2017,L-300X250-MR,2,79
L-,6/11/2017,L-728X90-TB,1,117
L-,6/11/2017,L-300X250-MR,2,99
L-,6/12/2017,L-728X90-TB,1,465
L-,6/12/2017,L-300X250-MR,2,480
L-,6/13/2017,L-728X90-TB,1,591
L-,6/13/2017,L-300X250-MR,2,573
L-,6/14/2017,L-728X90-TB,1,587
L-,6/14/2017,L-300X250-MR,2,532
L-,6/15/2017,L-728X90-TB,1,513
L-,6/15/2017,L-300X250-MR,2,504
L-,6/16/2017,L-728X90-TB,1,455
L-,6/16/2017,L-300X250-MR,2,431
L-,6/17/2017,L-728X90-TB,1,168
L-,6/17/2017,L-300X250-MR,2,157
L-,6/18/2017,L-728X90-TB,1,200
L-,6/18/2017,L-300X250-MR,2,223
L-,6/19/2017,L-728X90-TB,1,578
L-,6/19/2017,L-300X250-MR,2,488
L-,6/20/2017,L-728X90-TB,1,513
L-,6/20/2017,L-300X250-MR,2,470
L-,6/21/2017,L-728X90-TB,1,630
L-,6/21/2017,L-300X250-MR,2,578
L-,6/22/2017,L-728X90-TB,1,569
L-,6/22/2017,L-300X250-MR,2,566
L-,6/23/2017,L-728X90-TB,1,292
L-,6/23/2017,L-300X250-MR,2,305
L-,6/24/2017,L-728X90-TB,1,162
L-,6/24/2017,L-300X250-MR,2,171
L-,6/25/2017,L-728X90-TB,1,171
L-,6/25/2017,L-300X250-MR,2,192
L-,6/26/2017,L-728X90-TB,1,439
L-,6/26/2017,L-300X250-MR,2,413
L-,6/27/2017,L-728X90-TB,1,482
L-,6/27/2017,L-300X250-MR,2,469
L-,6/28/2017,L-728X90-TB,1,502
L-,6/28/2017,L-300X250-MR,2,480
L-,6/29/2017,L-728X90-TB,1,426
L-,6/29/2017,L-300X250-MR,2,458
L-,6/30/2017,L-728X90-TB,1,351
L-,6/30/2017,L-300X250-MR,2,367
