Flight,Date,Banner/CC Name,Id,Impressions
BS,6/1/2017,BS-728X90-TB,1,201
BS,6/1/2017,BS-160X600-MO,2,29
BS,6/1/2017,BS-300X250-MR,3,226
BS,6/1/2017,BS-728X90-Adhesive,4,1
BS,6/2/2017,BS-728X90-TB,1,152
BS,6/2/2017,BS-160X600-MO,2,76
BS,6/2/2017,BS-300X250-MR,3,140
BS,6/2/2017,BS-728X90-Adhesive,4,9
BS,6/3/2017,BS-728X90-TB,1,61
BS,6/3/2017,BS-160X600-MO,2,17
BS,6/3/2017,BS-300X250-MR,3,76
BS,6/3/2017,BS-728X90-Adhesive,4,9
BS,6/4/2017,BS-728X90-TB,1,121
BS,6/4/2017,BS-160X600-MO,2,20
BS,6/4/2017,BS-300X250-MR,3,145
BS,6/4/2017,BS-728X90-Adhesive,4,8
BS,6/5/2017,BS-728X90-TB,1,188
BS,6/5/2017,BS-160X600-MO,2,46
BS,6/5/2017,BS-300X250-MR,3,170
BS,6/5/2017,BS-728X90-Adhesive,4,4
BS,6/6/2017,BS-728X90-TB,1,216
BS,6/6/2017,BS-160X600-MO,2,63
BS,6/6/2017,BS-300X250-MR,3,208
BS,6/6/2017,BS-728X90-Adhesive,4,32
BS,6/7/2017,BS-728X90-TB,1,280
BS,6/7/2017,BS-160X600-MO,2,124
BS,6/7/2017,BS-300X250-MR,3,279
BS,6/7/2017,BS-728X90-Adhesive,4,61
BS,6/8/2017,BS-728X90-TB,1,232
BS,6/8/2017,BS-160X600-MO,2,55
BS,6/8/2017,BS-300X250-MR,3,231
BS,6/8/2017,BS-728X90-Adhesive,4,11
BS,6/9/2017,BS-728X90-TB,1,109
BS,6/9/2017,BS-160X600-MO,2,20
BS,6/9/2017,BS-300X250-MR,3,125
BS,6/9/2017,BS-728X90-Adhesive,4,7
BS,6/10/2017,BS-728X90-TB,1,84
BS,6/10/2017,BS-160X600-MO,2,11
BS,6/10/2017,BS-300X250-MR,3,72
BS,6/10/2017,BS-728X90-Adhesive,4,7
BS,6/11/2017,BS-728X90-TB,1,76
BS,6/11/2017,BS-160X600-MO,2,15
BS,6/11/2017,BS-300X250-MR,3,76
BS,6/11/2017,BS-728X90-Adhesive,4,14
BS,6/12/2017,BS-728X90-TB,1,236
BS,6/12/2017,BS-160X600-MO,2,63
BS,6/12/2017,BS-300X250-MR,3,216
BS,6/12/2017,BS-728X90-Adhesive,4,21
BS,6/13/2017,BS-728X90-TB,1,268
BS,6/13/2017,BS-160X600-MO,2,301
BS,6/13/2017,BS-300X250-MR,3,264
BS,6/13/2017,BS-728X90-Adhesive,4,50
BS,6/14/2017,BS-728X90-TB,1,341
BS,6/14/2017,BS-160X600-MO,2,274
BS,6/14/2017,BS-300X250-MR,3,295
BS,6/14/2017,BS-728X90-Adhesive,4,46
BS,6/15/2017,BS-728X90-TB,1,350
BS,6/15/2017,BS-160X600-MO,2,243
BS,6/15/2017,BS-300X250-MR,3,313
BS,6/15/2017,BS-728X90-Adhesive,4,54
BS,6/16/2017,BS-728X90-TB,1,217
BS,6/16/2017,BS-160X600-MO,2,288
BS,6/16/2017,BS-300X250-MR,3,208
BS,6/16/2017,BS-728X90-Adhesive,4,67
BS,6/17/2017,BS-728X90-TB,1,103
BS,6/17/2017,BS-160X600-MO,2,83
BS,6/17/2017,BS-300X250-MR,3,114
BS,6/17/2017,BS-728X90-Adhesive,4,32
BS,6/18/2017,BS-728X90-TB,1,177
BS,6/18/2017,BS-160X600-MO,2,146
BS,6/18/2017,BS-300X250-MR,3,148
BS,6/18/2017,BS-728X90-Adhesive,4,30
BS,6/19/2017,BS-728X90-TB,1,273
BS,6/19/2017,BS-160X600-MO,2,228
BS,6/19/2017,BS-300X250-MR,3,227
BS,6/19/2017,BS-728X90-Adhesive,4,51
BS,6/20/2017,BS-728X90-TB,1,199
BS,6/20/2017,BS-160X600-MO,2,216
BS,6/20/2017,BS-300X250-MR,3,234
BS,6/20/2017,BS-728X90-Adhesive,4,65
BS,6/21/2017,BS-728X90-TB,1,375
BS,6/21/2017,BS-160X600-MO,2,256
BS,6/21/2017,BS-300X250-MR,3,335
BS,6/21/2017,BS-728X90-Adhesive,4,58
BS,6/22/2017,BS-728X90-TB,1,275
BS,6/22/2017,BS-160X600-MO,2,179
BS,6/22/2017,BS-300X250-MR,3,271
BS,6/22/2017,BS-728X90-Adhesive,4,41
BS,6/23/2017,BS-728X90-TB,1,200
BS,6/23/2017,BS-160X600-MO,2,189
BS,6/23/2017,BS-300X250-MR,3,183
BS,6/23/2017,BS-728X90-Adhesive,4,37
BS,6/24/2017,BS-728X90-TB,1,107
BS,6/24/2017,BS-160X600-MO,2,123
BS,6/24/2017,BS-300X250-MR,3,106
BS,6/24/2017,BS-728X90-Adhesive,4,13
BS,6/25/2017,BS-728X90-TB,1,159
BS,6/25/2017,BS-160X600-MO,2,114
BS,6/25/2017,BS-300X250-MR,3,151
BS,6/25/2017,BS-728X90-Adhesive,4,30
BS,6/26/2017,BS-728X90-TB,1,234
BS,6/26/2017,BS-160X600-MO,2,289
BS,6/26/2017,BS-300X250-MR,3,241
BS,6/26/2017,BS-728X90-Adhesive,4,97
BS,6/27/2017,BS-728X90-TB,1,243
BS,6/27/2017,BS-160X600-MO,2,304
BS,6/27/2017,BS-300X250-MR,3,269
BS,6/27/2017,BS-728X90-Adhesive,4,74
BS,6/28/2017,BS-728X90-TB,1,311
BS,6/28/2017,BS-160X600-MO,2,209
BS,6/28/2017,BS-300X250-MR,3,332
BS,6/28/2017,BS-728X90-Adhesive,4,58
BS,6/29/2017,BS-728X90-TB,1,257
BS,6/29/2017,BS-160X600-MO,2,248
BS,6/29/2017,BS-300X250-MR,3,303
BS,6/29/2017,BS-728X90-Adhesive,4,49
BS,6/30/2017,BS-728X90-TB,1,261
BS,6/30/2017,BS-160X600-MO,2,328
BS,6/30/2017,BS-300X250-MR,3,286
BS,6/30/2017,BS-728X90-Adhesive,4,61
