Flight,Date,Banner/CC Name,Id,Impressions
GH,6/1/2017,GH-728X90-TB,1,163
GH,6/1/2017,GH-300X250-MR,2,139
GH,6/2/2017,GH-728X90-TB,1,104
GH,6/2/2017,GH-300X250-MR,2,108
GH,6/3/2017,GH-728X90-TB,1,35
GH,6/3/2017,GH-300X250-MR,2,42
GH,6/4/2017,GH-728X90-TB,1,82
GH,6/4/2017,GH-300X250-MR,2,69
GH,6/5/2017,GH-728X90-TB,1,102
GH,6/5/2017,GH-300X250-MR,2,114
GH,6/6/2017,GH-728X90-TB,1,124
GH,6/6/2017,GH-300X250-MR,2,125
GH,6/7/2017,GH-728X90-TB,1,192
GH,6/7/2017,GH-300X250-MR,2,147
GH,6/8/2017,GH-728X90-TB,1,158
GH,6/8/2017,GH-300X250-MR,2,129
GH,6/9/2017,GH-728X90-TB,1,76
GH,6/9/2017,GH-300X250-MR,2,56
GH,6/10/2017,GH-728X90-TB,1,40
GH,6/10/2017,GH-300X250-MR,2,55
GH,6/11/2017,GH-728X90-TB,1,42
GH,6/11/2017,GH-300X250-MR,2,47
GH,6/12/2017,GH-728X90-TB,1,110
GH,6/12/2017,GH-300X250-MR,2,115
GH,6/13/2017,GH-728X90-TB,1,113
GH,6/13/2017,GH-300X250-MR,2,124
GH,6/14/2017,GH-728X90-TB,1,201
GH,6/14/2017,GH-300X250-MR,2,173
GH,6/15/2017,GH-728X90-TB,1,177
GH,6/15/2017,GH-300X250-MR,2,201
GH,6/16/2017,GH-728X90-TB,1,136
GH,6/16/2017,GH-300X250-MR,2,155
GH,6/17/2017,GH-728X90-TB,1,51
GH,6/17/2017,GH-300X250-MR,2,35
GH,6/18/2017,GH-728X90-TB,1,65
GH,6/18/2017,GH-300X250-MR,2,69
GH,6/19/2017,GH-728X90-TB,1,135
GH,6/19/2017,GH-300X250-MR,2,99
GH,6/20/2017,GH-728X90-TB,1,112
GH,6/20/2017,GH-300X250-MR,2,114
GH,6/21/2017,GH-728X90-TB,1,227
GH,6/21/2017,GH-300X250-MR,2,227
GH,6/22/2017,GH-728X90-TB,1,186
GH,6/22/2017,GH-300X250-MR,2,198
GH,6/23/2017,GH-728X90-TB,1,128
GH,6/23/2017,GH-300X250-MR,2,113
GH,6/24/2017,GH-728X90-TB,1,57
GH,6/24/2017,GH-300X250-MR,2,48
GH,6/25/2017,GH-728X90-TB,1,68
GH,6/25/2017,GH-300X250-MR,2,72
GH,6/26/2017,GH-728X90-TB,1,133
GH,6/26/2017,GH-300X250-MR,2,119
GH,6/27/2017,GH-728X90-TB,1,139
GH,6/27/2017,GH-300X250-MR,2,101
GH,6/28/2017,GH-728X90-TB,1,184
GH,6/28/2017,GH-300X250-MR,2,173
GH,6/29/2017,GH-728X90-TB,1,165
GH,6/29/2017,GH-300X250-MR,2,138
GH,6/30/2017,GH-728X90-TB,1,162
GH,6/30/2017,GH-300X250-MR,2,115
