Flight,Date,Banner/CC Name,Id,Impressions
AD-,6/1/2017,AD-160X600-MO,1,404
AD-,6/1/2017,AD-728X90-TB,2,458
AD-,6/1/2017,AD-300X250-MR,3,398
AD-,6/1/2017,AD-728X90-Adhesive,4,86
AD-,6/2/2017,AD-160X600-MO,1,338
AD-,6/2/2017,AD-728X90-TB,2,277
AD-,6/2/2017,AD-300X250-MR,3,298
AD-,6/2/2017,AD-728X90-Adhesive,4,63
AD-,6/3/2017,AD-160X600-MO,1,131
AD-,6/3/2017,AD-728X90-TB,2,180
AD-,6/3/2017,AD-300X250-MR,3,179
AD-,6/3/2017,AD-728X90-Adhesive,4,32
AD-,6/4/2017,AD-160X600-MO,1,205
AD-,6/4/2017,AD-728X90-TB,2,308
AD-,6/4/2017,AD-300X250-MR,3,317
AD-,6/4/2017,AD-728X90-Adhesive,4,50
AD-,6/5/2017,AD-160X600-MO,1,481
AD-,6/5/2017,AD-728X90-TB,2,518
AD-,6/5/2017,AD-300X250-MR,3,530
AD-,6/5/2017,AD-728X90-Adhesive,4,163
AD-,6/6/2017,AD-160X600-MO,1,530
AD-,6/6/2017,AD-728X90-TB,2,501
AD-,6/6/2017,AD-300X250-MR,3,504
AD-,6/6/2017,AD-728X90-Adhesive,4,129
AD-,6/7/2017,AD-160X600-MO,1,792
AD-,6/7/2017,AD-728X90-TB,2,422
AD-,6/7/2017,AD-300X250-MR,3,433
AD-,6/7/2017,AD-728X90-Adhesive,4,173
AD-,6/8/2017,AD-160X600-MO,1,752
AD-,6/8/2017,AD-728X90-TB,2,365
AD-,6/8/2017,AD-300X250-MR,3,365
AD-,6/8/2017,AD-728X90-Adhesive,4,118
AD-,6/9/2017,AD-160X600-MO,1,489
AD-,6/9/2017,AD-728X90-TB,2,232
AD-,6/9/2017,AD-300X250-MR,3,232
AD-,6/9/2017,AD-728X90-Adhesive,4,68
AD-,6/10/2017,AD-160X600-MO,1,152
AD-,6/10/2017,AD-728X90-TB,2,107
AD-,6/10/2017,AD-300X250-MR,3,109
AD-,6/10/2017,AD-728X90-Adhesive,4,35
AD-,6/11/2017,AD-160X600-MO,1,204
AD-,6/11/2017,AD-728X90-TB,2,125
AD-,6/11/2017,AD-300X250-MR,3,125
AD-,6/11/2017,AD-728X90-Adhesive,4,37
AD-,6/12/2017,AD-160X600-MO,1,606
AD-,6/12/2017,AD-728X90-TB,2,318
AD-,6/12/2017,AD-300X250-MR,3,277
AD-,6/12/2017,AD-728X90-Adhesive,4,125
AD-,6/13/2017,AD-160X600-MO,1,997
AD-,6/13/2017,AD-728X90-TB,2,314
AD-,6/13/2017,AD-300X250-MR,3,367
AD-,6/13/2017,AD-728X90-Adhesive,4,180
AD-,6/14/2017,AD-160X600-MO,1,920
AD-,6/14/2017,AD-728X90-TB,2,313
AD-,6/14/2017,AD-300X250-MR,3,274
AD-,6/14/2017,AD-728X90-Adhesive,4,112
AD-,6/15/2017,AD-160X600-MO,1,865
AD-,6/15/2017,AD-728X90-TB,2,387
AD-,6/15/2017,AD-300X250-MR,3,373
AD-,6/15/2017,AD-728X90-Adhesive,4,122
AD-,6/16/2017,AD-160X600-MO,1,960
AD-,6/16/2017,AD-728X90-TB,2,254
AD-,6/16/2017,AD-300X250-MR,3,252
AD-,6/16/2017,AD-728X90-Adhesive,4,101
AD-,6/17/2017,AD-160X600-MO,1,274
AD-,6/17/2017,AD-728X90-TB,2,130
AD-,6/17/2017,AD-300X250-MR,3,122
AD-,6/17/2017,AD-728X90-Adhesive,4,56
AD-,6/18/2017,AD-160X600-MO,1,291
AD-,6/18/2017,AD-728X90-TB,2,129
AD-,6/18/2017,AD-300X250-MR,3,129
AD-,6/18/2017,AD-728X90-Adhesive,4,54
AD-,6/19/2017,AD-160X600-MO,1,1033
AD-,6/19/2017,AD-728X90-TB,2,316
AD-,6/19/2017,AD-300X250-MR,3,344
AD-,6/19/2017,AD-728X90-Adhesive,4,117
AD-,6/20/2017,AD-160X600-MO,1,932
AD-,6/20/2017,AD-728X90-TB,2,383
AD-,6/20/2017,AD-300X250-MR,3,315
AD-,6/20/2017,AD-728X90-Adhesive,4,128
AD-,6/21/2017,AD-160X600-MO,1,1079
AD-,6/21/2017,AD-728X90-TB,2,432
AD-,6/21/2017,AD-300X250-MR,3,443
AD-,6/21/2017,AD-728X90-Adhesive,4,126
AD-,6/22/2017,AD-160X600-MO,1,1054
AD-,6/22/2017,AD-728X90-TB,2,445
AD-,6/22/2017,AD-300X250-MR,3,390
AD-,6/22/2017,AD-728X90-Adhesive,4,102
AD-,6/23/2017,AD-160X600-MO,1,739
AD-,6/23/2017,AD-728X90-TB,2,349
AD-,6/23/2017,AD-300X250-MR,3,320
AD-,6/23/2017,AD-728X90-Adhesive,4,106
AD-,6/24/2017,AD-160X600-MO,1,247
AD-,6/24/2017,AD-728X90-TB,2,153
AD-,6/24/2017,AD-300X250-MR,3,130
AD-,6/24/2017,AD-728X90-Adhesive,4,34
AD-,6/25/2017,AD-160X600-MO,1,394
AD-,6/25/2017,AD-728X90-TB,2,158
AD-,6/25/2017,AD-300X250-MR,3,155
AD-,6/25/2017,AD-728X90-Adhesive,4,60
AD-,6/26/2017,AD-160X600-MO,1,1048
AD-,6/26/2017,AD-728X90-TB,2,365
AD-,6/26/2017,AD-300X250-MR,3,339
AD-,6/26/2017,AD-728X90-Adhesive,4,132
AD-,6/27/2017,AD-160X600-MO,1,988
AD-,6/27/2017,AD-728X90-TB,2,369
AD-,6/27/2017,AD-300X250-MR,3,335
AD-,6/27/2017,AD-728X90-Adhesive,4,149
AD-,6/28/2017,AD-160X600-MO,1,801
AD-,6/28/2017,AD-728X90-TB,2,451
AD-,6/28/2017,AD-300X250-MR,3,460
AD-,6/28/2017,AD-728X90-Adhesive,4,98
AD-,6/29/2017,AD-160X600-MO,1,899
AD-,6/29/2017,AD-728X90-TB,2,416
AD-,6/29/2017,AD-300X250-MR,3,418
AD-,6/29/2017,AD-728X90-Adhesive,4,116
AD-,6/30/2017,AD-160X600-MO,1,686
AD-,6/30/2017,AD-728X90-TB,2,334
AD-,6/30/2017,AD-300X250-MR,3,342
AD-,6/30/2017,AD-728X90-Adhesive,4,103
