Flight,Date,Banner/CC Name,Id,Impressions
AM-,6/1/2017,AM-728X90-TB,1,88
AM-,6/1/2017,AM-300X250-MR,2,56
AM-,6/2/2017,AM-728X90-TB,1,60
AM-,6/2/2017,AM-300X250-MR,2,69
AM-,6/3/2017,AM-728X90-TB,1,3
AM-,6/3/2017,AM-300X250-MR,2,7
AM-,6/4/2017,AM-728X90-TB,1,10
AM-,6/4/2017,AM-300X250-MR,2,10
AM-,6/5/2017,AM-728X90-TB,1,57
AM-,6/5/2017,AM-300X250-MR,2,57
AM-,6/6/2017,AM-728X90-TB,1,67
AM-,6/6/2017,AM-300X250-MR,2,84
AM-,6/7/2017,AM-728X90-TB,1,759
AM-,6/7/2017,AM-300X250-MR,2,741
AM-,6/8/2017,AM-728X90-TB,1,707
AM-,6/8/2017,AM-300X250-MR,2,665
AM-,6/9/2017,AM-728X90-TB,1,423
AM-,6/9/2017,AM-300X250-MR,2,411
AM-,6/10/2017,AM-728X90-TB,1,190
AM-,6/10/2017,AM-300X250-MR,2,170
AM-,6/11/2017,AM-728X90-TB,1,211
AM-,6/11/2017,AM-300X250-MR,2,202
AM-,6/12/2017,AM-728X90-TB,1,515
AM-,6/12/2017,AM-300X250-MR,2,515
AM-,6/13/2017,AM-728X90-TB,1,660
AM-,6/13/2017,AM-300X250-MR,2,657
AM-,6/14/2017,AM-728X90-TB,1,634
AM-,6/14/2017,AM-300X250-MR,2,598
AM-,6/15/2017,AM-728X90-TB,1,637
AM-,6/15/2017,AM-300X250-MR,2,647
AM-,6/16/2017,AM-728X90-TB,1,568
AM-,6/16/2017,AM-300X250-MR,2,581
AM-,6/17/2017,AM-728X90-TB,1,194
AM-,6/17/2017,AM-300X250-MR,2,200
AM-,6/18/2017,AM-728X90-TB,1,218
AM-,6/18/2017,AM-300X250-MR,2,204
AM-,6/19/2017,AM-728X90-TB,1,603
AM-,6/19/2017,AM-300X250-MR,2,631
AM-,6/20/2017,AM-728X90-TB,1,641
AM-,6/20/2017,AM-300X250-MR,2,605
AM-,6/21/2017,AM-728X90-TB,1,879
AM-,6/21/2017,AM-300X250-MR,2,905
AM-,6/22/2017,AM-728X90-TB,1,821
AM-,6/22/2017,AM-300X250-MR,2,816
AM-,6/23/2017,AM-728X90-TB,1,598
AM-,6/23/2017,AM-300X250-MR,2,567
AM-,6/24/2017,AM-728X90-TB,1,209
AM-,6/24/2017,AM-300X250-MR,2,210
AM-,6/25/2017,AM-728X90-TB,1,262
AM-,6/25/2017,AM-300X250-MR,2,237
AM-,6/26/2017,AM-728X90-TB,1,593
AM-,6/26/2017,AM-300X250-MR,2,596
AM-,6/27/2017,AM-728X90-TB,1,638
AM-,6/27/2017,AM-300X250-MR,2,588
AM-,6/28/2017,AM-728X90-TB,1,730
AM-,6/28/2017,AM-300X250-MR,2,699
AM-,6/29/2017,AM-728X90-TB,1,595
AM-,6/29/2017,AM-300X250-MR,2,647
AM-,6/30/2017,AM-728X90-TB,1,465
AM-,6/30/2017,AM-300X250-MR,2,426
