Flight,Date,Banner/CC Name,Id,Impressions
K-,6/1/2017,K-728X90-TB,1,571
K-,6/1/2017,K-300X250-MR,2,599
K-,6/1/2017,K-728X90-Adhesive,3,76
K-,6/2/2017,K-728X90-TB,1,421
K-,6/2/2017,K-300X250-MR,2,451
K-,6/2/2017,K-728X90-Adhesive,3,73
K-,6/3/2017,K-728X90-TB,1,221
K-,6/3/2017,K-300X250-MR,2,248
K-,6/3/2017,K-728X90-Adhesive,3,43
K-,6/4/2017,K-728X90-TB,1,403
K-,6/4/2017,K-300X250-MR,2,423
K-,6/4/2017,K-728X90-Adhesive,3,54
K-,6/5/2017,K-728X90-TB,1,755
K-,6/5/2017,K-300X250-MR,2,664
K-,6/5/2017,K-728X90-Adhesive,3,177
K-,6/6/2017,K-728X90-TB,1,719
K-,6/6/2017,K-300X250-MR,2,690
K-,6/6/2017,K-728X90-Adhesive,3,134
K-,6/7/2017,K-728X90-TB,1,707
K-,6/7/2017,K-300X250-MR,2,703
K-,6/7/2017,K-728X90-Adhesive,3,216
K-,6/8/2017,K-728X90-TB,1,614
K-,6/8/2017,K-300X250-MR,2,622
K-,6/8/2017,K-728X90-Adhesive,3,162
K-,6/9/2017,K-728X90-TB,1,368
K-,6/9/2017,K-300X250-MR,2,364
K-,6/9/2017,K-728X90-Adhesive,3,81
K-,6/10/2017,K-728X90-TB,1,149
K-,6/10/2017,K-300X250-MR,2,158
K-,6/10/2017,K-728X90-Adhesive,3,33
K-,6/11/2017,K-728X90-TB,1,185
K-,6/11/2017,K-300X250-MR,2,203
K-,6/11/2017,K-728X90-Adhesive,3,46
K-,6/12/2017,K-728X90-TB,1,492
K-,6/12/2017,K-300X250-MR,2,470
K-,6/12/2017,K-728X90-Adhesive,3,115
K-,6/13/2017,K-728X90-TB,1,613
K-,6/13/2017,K-300X250-MR,2,554
K-,6/13/2017,K-728X90-Adhesive,3,225
K-,6/14/2017,K-728X90-TB,1,566
K-,6/14/2017,K-300X250-MR,2,502
K-,6/14/2017,K-728X90-Adhesive,3,160
K-,6/15/2017,K-728X90-TB,1,597
K-,6/15/2017,K-300X250-MR,2,561
K-,6/15/2017,K-728X90-Adhesive,3,155
K-,6/16/2017,K-728X90-TB,1,468
K-,6/16/2017,K-300X250-MR,2,486
K-,6/16/2017,K-728X90-Adhesive,3,130
K-,6/17/2017,K-728X90-TB,1,213
K-,6/17/2017,K-300X250-MR,2,167
K-,6/17/2017,K-728X90-Adhesive,3,55
K-,6/18/2017,K-728X90-TB,1,191
K-,6/18/2017,K-300X250-MR,2,204
K-,6/18/2017,K-728X90-Adhesive,3,58
K-,6/19/2017,K-728X90-TB,1,567
K-,6/19/2017,K-300X250-MR,2,576
K-,6/19/2017,K-728X90-Adhesive,3,148
K-,6/20/2017,K-728X90-TB,1,558
K-,6/20/2017,K-300X250-MR,2,574
K-,6/20/2017,K-728X90-Adhesive,3,169
K-,6/21/2017,K-728X90-TB,1,805
K-,6/21/2017,K-300X250-MR,2,786
K-,6/21/2017,K-728X90-Adhesive,3,180
K-,6/22/2017,K-728X90-TB,1,754
K-,6/22/2017,K-300X250-MR,2,713
K-,6/22/2017,K-728X90-Adhesive,3,105
K-,6/23/2017,K-728X90-TB,1,577
K-,6/23/2017,K-300X250-MR,2,530
K-,6/23/2017,K-728X90-Adhesive,3,110
K-,6/24/2017,K-728X90-TB,1,235
K-,6/24/2017,K-300X250-MR,2,193
K-,6/24/2017,K-728X90-Adhesive,3,51
K-,6/25/2017,K-728X90-TB,1,249
K-,6/25/2017,K-300X250-MR,2,233
K-,6/25/2017,K-728X90-Adhesive,3,61
K-,6/26/2017,K-728X90-TB,1,557
K-,6/26/2017,K-300X250-MR,2,575
K-,6/26/2017,K-728X90-Adhesive,3,177
K-,6/27/2017,K-728X90-TB,1,567
K-,6/27/2017,K-300X250-MR,2,567
K-,6/27/2017,K-728X90-Adhesive,3,146
K-,6/28/2017,K-728X90-TB,1,658
K-,6/28/2017,K-300X250-MR,2,643
K-,6/28/2017,K-728X90-Adhesive,3,140
K-,6/29/2017,K-728X90-TB,1,608
K-,6/29/2017,K-300X250-MR,2,614
K-,6/29/2017,K-728X90-Adhesive,3,129
K-,6/30/2017,K-728X90-TB,1,481
K-,6/30/2017,K-300X250-MR,2,426
K-,6/30/2017,K-728X90-Adhesive,3,132
