Flight,Date,Banner/CC Name,Id,Impressions
N-,6/1/2017,N-300X250-MR,1,597
N-,6/1/2017,N-728X90-TB,2,603
N-,6/1/2017,N-300X250-Adhesive,3,87
N-,6/2/2017,N-300X250-MR,1,416
N-,6/2/2017,N-728X90-TB,2,462
N-,6/2/2017,N-300X250-Adhesive,3,81
N-,6/3/2017,N-300X250-MR,1,236
N-,6/3/2017,N-728X90-TB,2,245
N-,6/3/2017,N-300X250-Adhesive,3,23
N-,6/4/2017,N-300X250-MR,1,388
N-,6/4/2017,N-728X90-TB,2,447
N-,6/4/2017,N-300X250-Adhesive,3,49
N-,6/5/2017,N-300X250-MR,1,740
N-,6/5/2017,N-728X90-TB,2,727
N-,6/5/2017,N-300X250-Adhesive,3,147
N-,6/6/2017,N-300X250-MR,1,661
N-,6/6/2017,N-728X90-TB,2,750
N-,6/6/2017,N-300X250-Adhesive,3,143
N-,6/7/2017,N-300X250-MR,1,671
N-,6/7/2017,N-728X90-TB,2,698
N-,6/7/2017,N-300X250-Adhesive,3,226
N-,6/8/2017,N-300X250-MR,1,597
N-,6/8/2017,N-728X90-TB,2,626
N-,6/8/2017,N-300X250-Adhesive,3,179
N-,6/9/2017,N-300X250-MR,1,357
N-,6/9/2017,N-728X90-TB,2,398
N-,6/9/2017,N-300X250-Adhesive,3,105
N-,6/10/2017,N-300X250-MR,1,156
N-,6/10/2017,N-728X90-TB,2,162
N-,6/10/2017,N-300X250-Adhesive,3,34
N-,6/11/2017,N-300X250-MR,1,189
N-,6/11/2017,N-728X90-TB,2,199
N-,6/11/2017,N-300X250-Adhesive,3,51
N-,6/12/2017,N-300X250-MR,1,460
N-,6/12/2017,N-728X90-TB,2,467
N-,6/12/2017,N-300X250-Adhesive,3,138
N-,6/13/2017,N-300X250-MR,1,590
N-,6/13/2017,N-728X90-TB,2,571
N-,6/13/2017,N-300X250-Adhesive,3,238
N-,6/14/2017,N-300X250-MR,1,533
N-,6/14/2017,N-728X90-TB,2,546
N-,6/14/2017,N-300X250-Adhesive,3,144
N-,6/15/2017,N-300X250-MR,1,603
N-,6/15/2017,N-728X90-TB,2,544
N-,6/15/2017,N-300X250-Adhesive,3,174
N-,6/16/2017,N-300X250-MR,1,467
N-,6/16/2017,N-728X90-TB,2,475
N-,6/16/2017,N-300X250-Adhesive,3,171
N-,6/17/2017,N-300X250-MR,1,194
N-,6/17/2017,N-728X90-TB,2,190
N-,6/17/2017,N-300X250-Adhesive,3,54
N-,6/18/2017,N-300X250-MR,1,195
N-,6/18/2017,N-728X90-TB,2,189
N-,6/18/2017,N-300X250-Adhesive,3,59
N-,6/19/2017,N-300X250-MR,1,580
N-,6/19/2017,N-728X90-TB,2,563
N-,6/19/2017,N-300X250-Adhesive,3,155
N-,6/20/2017,N-300X250-MR,1,539
N-,6/20/2017,N-728X90-TB,2,573
N-,6/20/2017,N-300X250-Adhesive,3,187
N-,6/21/2017,N-300X250-MR,1,819
N-,6/21/2017,N-728X90-TB,2,831
N-,6/21/2017,N-300X250-Adhesive,3,183
N-,6/22/2017,N-300X250-MR,1,738
N-,6/22/2017,N-728X90-TB,2,723
N-,6/22/2017,N-300X250-Adhesive,3,150
N-,6/23/2017,N-300X250-MR,1,545
N-,6/23/2017,N-728X90-TB,2,537
N-,6/23/2017,N-300X250-Adhesive,3,113
N-,6/24/2017,N-300X250-MR,1,203
N-,6/24/2017,N-728X90-TB,2,200
N-,6/24/2017,N-300X250-Adhesive,3,44
N-,6/25/2017,N-300X250-MR,1,236
N-,6/25/2017,N-728X90-TB,2,242
N-,6/25/2017,N-300X250-Adhesive,3,62
N-,6/26/2017,N-300X250-MR,1,573
N-,6/26/2017,N-728X90-TB,2,559
N-,6/26/2017,N-300X250-Adhesive,3,164
N-,6/27/2017,N-300X250-MR,1,508
N-,6/27/2017,N-728X90-TB,2,567
N-,6/27/2017,N-300X250-Adhesive,3,176
N-,6/28/2017,N-300X250-MR,1,680
N-,6/28/2017,N-728X90-TB,2,664
N-,6/28/2017,N-300X250-Adhesive,3,133
N-,6/29/2017,N-300X250-MR,1,604
N-,6/29/2017,N-728X90-TB,2,593
N-,6/29/2017,N-300X250-Adhesive,3,118
N-,6/30/2017,N-300X250-MR,1,469
N-,6/30/2017,N-728X90-TB,2,432
N-,6/30/2017,N-300X250-Adhesive,3,124
