Flight,Date,Banner/CC Name,Id,Impressions
H-,6/1/2017,H-728X90-TB,1,114
H-,6/1/2017,H-300X250-MR,2,104
H-,6/2/2017,H-728X90-TB,1,80
H-,6/2/2017,H-300X250-MR,2,68
H-,6/3/2017,H-728X90-TB,1,16
H-,6/3/2017,H-300X250-MR,2,21
H-,6/4/2017,H-728X90-TB,1,35
H-,6/4/2017,H-300X250-MR,2,39
H-,6/5/2017,H-728X90-TB,1,85
H-,6/5/2017,H-300X250-MR,2,60
H-,6/6/2017,H-728X90-TB,1,113
H-,6/6/2017,H-300X250-MR,2,106
H-,6/7/2017,H-728X90-TB,1,109
H-,6/7/2017,H-300X250-MR,2,137
H-,6/8/2017,H-728X90-TB,1,139
H-,6/8/2017,H-300X250-MR,2,124
H-,6/9/2017,H-728X90-TB,1,158
H-,6/9/2017,H-300X250-MR,2,138
H-,6/10/2017,H-728X90-TB,1,35
H-,6/10/2017,H-300X250-MR,2,19
H-,6/11/2017,H-728X90-TB,1,53
H-,6/11/2017,H-300X250-MR,2,50
H-,6/12/2017,H-728X90-TB,1,73
H-,6/12/2017,H-300X250-MR,2,57
H-,6/13/2017,H-728X90-TB,1,228
H-,6/13/2017,H-300X250-MR,2,210
H-,6/14/2017,H-728X90-TB,1,323
H-,6/14/2017,H-300X250-MR,2,350
H-,6/15/2017,H-728X90-TB,1,410
H-,6/15/2017,H-300X250-MR,2,412
H-,6/16/2017,H-728X90-TB,1,383
H-,6/16/2017,H-300X250-MR,2,321
H-,6/17/2017,H-728X90-TB,1,105
H-,6/17/2017,H-300X250-MR,2,94
H-,6/18/2017,H-728X90-TB,1,157
H-,6/18/2017,H-300X250-MR,2,101
H-,6/19/2017,H-728X90-TB,1,371
H-,6/19/2017,H-300X250-MR,2,369
H-,6/20/2017,H-728X90-TB,1,321
H-,6/20/2017,H-300X250-MR,2,287
H-,6/21/2017,H-728X90-TB,1,578
H-,6/21/2017,H-300X250-MR,2,575
H-,6/22/2017,H-728X90-TB,1,453
H-,6/22/2017,H-300X250-MR,2,389
H-,6/23/2017,H-728X90-TB,1,249
H-,6/23/2017,H-300X250-MR,2,287
H-,6/24/2017,H-728X90-TB,1,134
H-,6/24/2017,H-300X250-MR,2,130
H-,6/25/2017,H-728X90-TB,1,135
H-,6/25/2017,H-300X250-MR,2,136
H-,6/26/2017,H-728X90-TB,1,210
H-,6/26/2017,H-300X250-MR,2,294
H-,6/27/2017,H-728X90-TB,1,366
H-,6/27/2017,H-300X250-MR,2,346
H-,6/28/2017,H-728X90-TB,1,446
H-,6/28/2017,H-300X250-MR,2,463
H-,6/29/2017,H-728X90-TB,1,405
H-,6/29/2017,H-300X250-MR,2,403
H-,6/30/2017,H-728X90-TB,1,352
H-,6/30/2017,H-300X250-MR,2,367
