Flight,Date,Banner/CC Name,Id,Impressions
FV-,6/1/2017,FV-300X250-MR,1,220
FV-,6/1/2017,FV-728X90-TB,2,256
FV-,6/1/2017,FV-728X90-Adhesive,3,47
FV-,6/2/2017,FV-300X250-MR,1,107
FV-,6/2/2017,FV-728X90-TB,2,112
FV-,6/2/2017,FV-728X90-Adhesive,3,24
FV-,6/3/2017,FV-300X250-MR,1,62
FV-,6/3/2017,FV-728X90-TB,2,68
FV-,6/3/2017,FV-728X90-Adhesive,3,10
FV-,6/4/2017,FV-300X250-MR,1,61
FV-,6/4/2017,FV-728X90-TB,2,77
FV-,6/4/2017,FV-728X90-Adhesive,3,21
FV-,6/5/2017,FV-300X250-MR,1,177
FV-,6/5/2017,FV-728X90-TB,2,175
FV-,6/5/2017,FV-728X90-Adhesive,3,56
FV-,6/6/2017,FV-300X250-MR,1,286
FV-,6/6/2017,FV-728X90-TB,2,291
FV-,6/6/2017,FV-728X90-Adhesive,3,98
FV-,6/7/2017,FV-300X250-MR,1,363
FV-,6/7/2017,FV-728X90-TB,2,329
FV-,6/7/2017,FV-728X90-Adhesive,3,187
FV-,6/8/2017,FV-300X250-MR,1,274
FV-,6/8/2017,FV-728X90-TB,2,253
FV-,6/8/2017,FV-728X90-Adhesive,3,100
FV-,6/9/2017,FV-300X250-MR,1,145
FV-,6/9/2017,FV-728X90-TB,2,157
FV-,6/9/2017,FV-728X90-Adhesive,3,62
FV-,6/10/2017,FV-300X250-MR,1,65
FV-,6/10/2017,FV-728X90-TB,2,71
FV-,6/10/2017,FV-728X90-Adhesive,3,6
FV-,6/11/2017,FV-300X250-MR,1,63
FV-,6/11/2017,FV-728X90-TB,2,87
FV-,6/11/2017,FV-728X90-Adhesive,3,19
FV-,6/12/2017,FV-300X250-MR,1,143
FV-,6/12/2017,FV-728X90-TB,2,157
FV-,6/12/2017,FV-728X90-Adhesive,3,54
FV-,6/13/2017,FV-300X250-MR,1,210
FV-,6/13/2017,FV-728X90-TB,2,218
FV-,6/13/2017,FV-728X90-Adhesive,3,79
FV-,6/14/2017,FV-300X250-MR,1,261
FV-,6/14/2017,FV-728X90-TB,2,288
FV-,6/14/2017,FV-728X90-Adhesive,3,61
FV-,6/15/2017,FV-300X250-MR,1,309
FV-,6/15/2017,FV-728X90-TB,2,294
FV-,6/15/2017,FV-728X90-Adhesive,3,91
FV-,6/16/2017,FV-300X250-MR,1,331
FV-,6/16/2017,FV-728X90-TB,2,323
FV-,6/16/2017,FV-728X90-Adhesive,3,137
FV-,6/17/2017,FV-300X250-MR,1,101
FV-,6/17/2017,FV-728X90-TB,2,76
FV-,6/17/2017,FV-728X90-Adhesive,3,32
FV-,6/18/2017,FV-300X250-MR,1,129
FV-,6/18/2017,FV-728X90-TB,2,132
FV-,6/18/2017,FV-728X90-Adhesive,3,77
FV-,6/19/2017,FV-300X250-MR,1,273
FV-,6/19/2017,FV-728X90-TB,2,242
FV-,6/19/2017,FV-728X90-Adhesive,3,106
FV-,6/20/2017,FV-300X250-MR,1,213
FV-,6/20/2017,FV-728X90-TB,2,211
FV-,6/20/2017,FV-728X90-Adhesive,3,131
FV-,6/21/2017,FV-300X250-MR,1,336
FV-,6/21/2017,FV-728X90-TB,2,302
FV-,6/21/2017,FV-728X90-Adhesive,3,107
FV-,6/22/2017,FV-300X250-MR,1,272
FV-,6/22/2017,FV-728X90-TB,2,233
FV-,6/22/2017,FV-728X90-Adhesive,3,60
FV-,6/23/2017,FV-300X250-MR,1,192
FV-,6/23/2017,FV-728X90-TB,2,245
FV-,6/23/2017,FV-728X90-Adhesive,3,59
FV-,6/24/2017,FV-300X250-MR,1,106
FV-,6/24/2017,FV-728X90-TB,2,74
FV-,6/24/2017,FV-728X90-Adhesive,3,26
FV-,6/25/2017,FV-300X250-MR,1,106
FV-,6/25/2017,FV-728X90-TB,2,118
FV-,6/25/2017,FV-728X90-Adhesive,3,47
FV-,6/26/2017,FV-300X250-MR,1,205
FV-,6/26/2017,FV-728X90-TB,2,196
FV-,6/26/2017,FV-728X90-Adhesive,3,78
FV-,6/27/2017,FV-300X250-MR,1,226
FV-,6/27/2017,FV-728X90-TB,2,220
FV-,6/27/2017,FV-728X90-Adhesive,3,92
FV-,6/28/2017,FV-300X250-MR,1,195
FV-,6/28/2017,FV-728X90-TB,2,237
FV-,6/28/2017,FV-728X90-Adhesive,3,74
FV-,6/29/2017,FV-300X250-MR,1,191
FV-,6/29/2017,FV-728X90-TB,2,201
FV-,6/29/2017,FV-728X90-Adhesive,3,35
FV-,6/30/2017,FV-300X250-MR,1,156
FV-,6/30/2017,FV-728X90-TB,2,144
FV-,6/30/2017,FV-728X90-Adhesive,3,27
