Flight,Date,Banner/CC Name,Id,Impressions
GH-,6/1/2017,GH-branded-728X90-TB,1,205
GH-,6/1/2017,GH-branded-300X250-MR,2,141
GH-,6/1/2017,GH-Unbranded-300X250-MR,3,924
GH-,6/1/2017,GH-Unbranded-728X90-TB,4,1100
GH-,6/2/2017,GH-branded-728X90-TB,1,102
GH-,6/2/2017,GH-branded-300X250-MR,2,84
GH-,6/2/2017,GH-Unbranded-300X250-MR,3,611
GH-,6/2/2017,GH-Unbranded-728X90-TB,4,628
GH-,6/3/2017,GH-branded-728X90-TB,1,60
GH-,6/3/2017,GH-branded-300X250-MR,2,42
GH-,6/3/2017,GH-Unbranded-300X250-MR,3,271
GH-,6/3/2017,GH-Unbranded-728X90-TB,4,336
GH-,6/4/2017,GH-branded-728X90-TB,1,80
GH-,6/4/2017,GH-branded-300X250-MR,2,59
GH-,6/4/2017,GH-Unbranded-300X250-MR,3,366
GH-,6/4/2017,GH-Unbranded-728X90-TB,4,427
GH-,6/5/2017,GH-branded-728X90-TB,1,112
GH-,6/5/2017,GH-branded-300X250-MR,2,110
GH-,6/5/2017,GH-Unbranded-300X250-MR,3,568
GH-,6/5/2017,GH-Unbranded-728X90-TB,4,659
GH-,6/6/2017,GH-branded-728X90-TB,1,132
GH-,6/6/2017,GH-branded-300X250-MR,2,114
GH-,6/6/2017,GH-Unbranded-300X250-MR,3,680
GH-,6/6/2017,GH-Unbranded-728X90-TB,4,722
GH-,6/7/2017,GH-branded-728X90-TB,1,217
GH-,6/7/2017,GH-branded-300X250-MR,2,173
GH-,6/7/2017,GH-Unbranded-300X250-MR,3,958
GH-,6/7/2017,GH-Unbranded-728X90-TB,4,1087
GH-,6/8/2017,GH-branded-728X90-TB,1,140
GH-,6/8/2017,GH-branded-300X250-MR,2,141
GH-,6/8/2017,GH-Unbranded-300X250-MR,3,781
GH-,6/8/2017,GH-Unbranded-728X90-TB,4,950
GH-,6/9/2017,GH-branded-728X90-TB,1,110
GH-,6/9/2017,GH-branded-300X250-MR,2,82
GH-,6/9/2017,GH-Unbranded-300X250-MR,3,513
GH-,6/9/2017,GH-Unbranded-728X90-TB,4,535
GH-,6/10/2017,GH-branded-728X90-TB,1,50
GH-,6/10/2017,GH-branded-300X250-MR,2,41
GH-,6/10/2017,GH-Unbranded-300X250-MR,3,202
GH-,6/10/2017,GH-Unbranded-728X90-TB,4,253
GH-,6/11/2017,GH-branded-728X90-TB,1,82
GH-,6/11/2017,GH-branded-300X250-MR,2,62
GH-,6/11/2017,GH-Unbranded-300X250-MR,3,371
GH-,6/11/2017,GH-Unbranded-728X90-TB,4,443
GH-,6/12/2017,GH-branded-728X90-TB,1,137
GH-,6/12/2017,GH-branded-300X250-MR,2,100
GH-,6/12/2017,GH-Unbranded-300X250-MR,3,594
GH-,6/12/2017,GH-Unbranded-728X90-TB,4,777
GH-,6/13/2017,GH-branded-728X90-TB,1,114
GH-,6/13/2017,GH-branded-300X250-MR,2,93
GH-,6/13/2017,GH-Unbranded-300X250-MR,3,544
