Flight,Date,Banner/CC Name,Id,Impressions
H,6/1/2017,H-728X90-TB,1,159
H,6/1/2017,H-300X250-MR,2,153
H,6/2/2017,H-728X90-TB,1,223
H,6/2/2017,H-300X250-MR,2,218
H,6/3/2017,H-728X90-TB,1,100
H,6/3/2017,H-300X250-MR,2,116
H,6/4/2017,H-728X90-TB,1,102
H,6/4/2017,H-300X250-MR,2,103
H,6/5/2017,H-728X90-TB,1,238
H,6/5/2017,H-300X250-MR,2,183
H,6/6/2017,H-728X90-TB,1,266
H,6/6/2017,H-300X250-MR,2,247
H,6/7/2017,H-728X90-TB,1,275
H,6/7/2017,H-300X250-MR,2,269
H,6/8/2017,H-728X90-TB,1,260
H,6/8/2017,H-300X250-MR,2,238
H,6/9/2017,H-728X90-TB,1,211
H,6/9/2017,H-300X250-MR,2,197
H,6/10/2017,H-728X90-TB,1,39
H,6/10/2017,H-300X250-MR,2,54
H,6/11/2017,H-728X90-TB,1,97
H,6/11/2017,H-300X250-MR,2,79
H,6/12/2017,H-728X90-TB,1,154
H,6/12/2017,H-300X250-MR,2,136
H,6/13/2017,H-728X90-TB,1,163
H,6/13/2017,H-300X250-MR,2,166
H,6/14/2017,H-728X90-TB,1,143
H,6/14/2017,H-300X250-MR,2,142
H,6/15/2017,H-728X90-TB,1,138
H,6/15/2017,H-300X250-MR,2,151
H,6/16/2017,H-728X90-TB,1,136
H,6/16/2017,H-300X250-MR,2,156
H,6/17/2017,H-728X90-TB,1,78
H,6/17/2017,H-300X250-MR,2,47
H,6/18/2017,H-728X90-TB,1,47
H,6/18/2017,H-300X250-MR,2,50
H,6/19/2017,H-728X90-TB,1,205
H,6/19/2017,H-300X250-MR,2,173
H,6/20/2017,H-728X90-TB,1,138
H,6/20/2017,H-300X250-MR,2,130
H,6/21/2017,H-728X90-TB,1,198
H,6/21/2017,H-300X250-MR,2,163
H,6/22/2017,H-728X90-TB,1,241
H,6/22/2017,H-300X250-MR,2,232
H,6/23/2017,H-728X90-TB,1,116
H,6/23/2017,H-300X250-MR,2,117
H,6/24/2017,H-728X90-TB,1,110
H,6/24/2017,H-300X250-MR,2,95
H,6/25/2017,H-728X90-TB,1,40
H,6/25/2017,H-300X250-MR,2,45
H,6/26/2017,H-728X90-TB,1,125
H,6/26/2017,H-300X250-MR,2,141
H,6/27/2017,H-728X90-TB,1,118
H,6/27/2017,H-300X250-MR,2,128
H,6/28/2017,H-728X90-TB,1,153
H,6/28/2017,H-300X250-MR,2,112
H,6/29/2017,H-728X90-TB,1,132
H,6/29/2017,H-300X250-MR,2,136
H,6/30/2017,H-728X90-TB,1,85
H,6/30/2017,H-300X250-MR,2,88
