Flight,Date,Banner/CC Name,Id,Impressions
I-,6/1/2017,I-300X600-MO,1,8
I-,6/1/2017,I-160X600-MO,2,14
I-,6/1/2017,I-300X250-MR,3,158
I-,6/1/2017,I-728X90-TB,4,127
I-,6/2/2017,I-300X600-MO,1,18
I-,6/2/2017,I-160X600-MO,2,17
I-,6/2/2017,I-300X250-MR,3,85
I-,6/2/2017,I-728X90-TB,4,94
I-,6/3/2017,I-300X600-MO,1,7
I-,6/3/2017,I-160X600-MO,2,2
I-,6/3/2017,I-300X250-MR,3,40
I-,6/3/2017,I-728X90-TB,4,48
I-,6/4/2017,I-300X600-MO,1,10
I-,6/4/2017,I-160X600-MO,2,12
I-,6/4/2017,I-300X250-MR,3,53
I-,6/4/2017,I-728X90-TB,4,60
I-,6/5/2017,I-300X600-MO,1,50
I-,6/5/2017,I-160X600-MO,2,37
I-,6/5/2017,I-300X250-MR,3,115
I-,6/5/2017,I-728X90-TB,4,128
I-,6/6/2017,I-300X600-MO,1,34
I-,6/6/2017,I-160X600-MO,2,27
I-,6/6/2017,I-300X250-MR,3,132
I-,6/6/2017,I-728X90-TB,4,149
I-,6/7/2017,I-300X600-MO,1,44
I-,6/7/2017,I-160X600-MO,2,49
I-,6/7/2017,I-300X250-MR,3,223
I-,6/7/2017,I-728X90-TB,4,210
I-,6/8/2017,I-300X600-MO,1,48
I-,6/8/2017,I-160X600-MO,2,63
I-,6/8/2017,I-300X250-MR,3,159
I-,6/8/2017,I-728X90-TB,4,149
I-,6/9/2017,I-300X600-MO,1,10
I-,6/9/2017,I-160X600-MO,2,7
I-,6/9/2017,I-300X250-MR,3,98
I-,6/9/2017,I-728X90-TB,4,90
I-,6/10/2017,I-300X600-MO,1,11
I-,6/10/2017,I-160X600-MO,2,5
I-,6/10/2017,I-300X250-MR,3,44
I-,6/10/2017,I-728X90-TB,4,42
I-,6/11/2017,I-300X600-MO,1,9
I-,6/11/2017,I-160X600-MO,2,8
I-,6/11/2017,I-300X250-MR,3,40
I-,6/11/2017,I-728X90-TB,4,48
I-,6/12/2017,I-300X600-MO,1,29
I-,6/12/2017,I-160X600-MO,2,32
I-,6/12/2017,I-300X250-MR,3,107
I-,6/12/2017,I-728X90-TB,4,108
I-,6/13/2017,I-300X600-MO,1,131
I-,6/13/2017,I-160X600-MO,2,120
I-,6/13/2017,I-300X250-MR,3,195
I-,6/13/2017,I-728X90-TB,4,205
I-,6/14/2017,I-300X600-MO,1,139
I-,6/14/2017,I-160X600-MO,2,122
I-,6/14/2017,I-300X250-MR,3,281
I-,6/14/2017,I-728X90-TB,4,280
I-,6/15/2017,I-300X600-MO,1,143
I-,6/15/2017,I-160X600-MO,2,134
I-,6/15/2017,I-300X250-MR,3,300
I-,6/15/2017,I-728X90-TB,4,292
I-,6/16/2017,I-300X600-MO,1,158
I-,6/16/2017,I-160X600-MO,2,125
I-,6/16/2017,I-300X250-MR,3,266
I-,6/16/2017,I-728X90-TB,4,246
I-,6/17/2017,I-300X600-MO,1,39
I-,6/17/2017,I-160X600-MO,2,39
I-,6/17/2017,I-300X250-MR,3,104
I-,6/17/2017,I-728X90-TB,4,111
I-,6/18/2017,I-300X600-MO,1,41
I-,6/18/2017,I-160X600-MO,2,60
I-,6/18/2017,I-300X250-MR,3,109
I-,6/18/2017,I-728X90-TB,4,99
I-,6/19/2017,I-300X600-MO,1,101
I-,6/19/2017,I-160X600-MO,2,133
I-,6/19/2017,I-300X250-MR,3,264
I-,6/19/2017,I-728X90-TB,4,246
I-,6/20/2017,I-300X600-MO,1,171
I-,6/20/2017,I-160X600-MO,2,186
I-,6/20/2017,I-300X250-MR,3,289
I-,6/20/2017,I-728X90-TB,4,290
I-,6/21/2017,I-300X600-MO,1,144
I-,6/21/2017,I-160X600-MO,2,148
I-,6/21/2017,I-300X250-MR,3,380
I-,6/21/2017,I-728X90-TB,4,446
I-,6/22/2017,I-300X600-MO,1,122
I-,6/22/2017,I-160X600-MO,2,144
I-,6/22/2017,I-300X250-MR,3,310
I-,6/22/2017,I-728X90-TB,4,312
I-,6/23/2017,I-300X600-MO,1,69
I-,6/23/2017,I-160X600-MO,2,73
I-,6/23/2017,I-300X250-MR,3,217
I-,6/23/2017,I-728X90-TB,4,184
I-,6/24/2017,I-300X600-MO,1,20
I-,6/24/2017,I-160X600-MO,2,25
I-,6/24/2017,I-300X250-MR,3,70
I-,6/24/2017,I-728X90-TB,4,71
I-,6/25/2017,I-300X600-MO,1,39
I-,6/25/2017,I-160X600-MO,2,40
I-,6/25/2017,I-300X250-MR,3,86
I-,6/25/2017,I-728X90-TB,4,107
I-,6/26/2017,I-300X600-MO,1,116
I-,6/26/2017,I-160X600-MO,2,133
I-,6/26/2017,I-300X250-MR,3,248
I-,6/26/2017,I-728X90-TB,4,232
I-,6/27/2017,I-300X600-MO,1,104
I-,6/27/2017,I-160X600-MO,2,109
I-,6/27/2017,I-300X250-MR,3,332
I-,6/27/2017,I-728X90-TB,4,332
I-,6/28/2017,I-300X600-MO,1,118
I-,6/28/2017,I-160X600-MO,2,102
I-,6/28/2017,I-300X250-MR,3,378
I-,6/28/2017,I-728X90-TB,4,363
I-,6/29/2017,I-300X600-MO,1,126
I-,6/29/2017,I-160X600-MO,2,119
I-,6/29/2017,I-300X250-MR,3,328
I-,6/29/2017,I-728X90-TB,4,352
I-,6/30/2017,I-300X600-MO,1,115
I-,6/30/2017,I-160X600-MO,2,108
I-,6/30/2017,I-300X250-MR,3,275
I-,6/30/2017,I-728X90-TB,4,194
