Date,SID,BTpop,
6/1/2017,7322988,3751,
6/2/2017,7322988,2681,
6/3/2017,7322988,1444,
6/4/2017,7322988,1585,
6/5/2017,7322988,2489,
6/6/2017,7322988,3943,
6/7/2017,7322988,2587,
6/8/2017,7322988,5019,
6/9/2017,7322988,2996,
6/10/2017,7322988,1565,
6/11/2017,7322988,1817,
6/12/2017,7322988,3277,
6/13/2017,7322988,3380,
6/14/2017,7322988,3003,
6/15/2017,7322988,3555,
6/16/2017,7322988,2343,
6/17/2017,7322988,1277,
6/18/2017,7322988,1270,
6/19/2017,7322988,2309,
6/20/2017,7322988,2307,
6/21/2017,7322988,2627,
6/22/2017,7322988,3363,
6/23/2017,7322988,2156,
6/24/2017,7322988,1064,
6/25/2017,7322988,1191,
6/26/2017,7322988,1968,
6/27/2017,7322988,2095,
6/28/2017,7322988,2439,
6/29/2017,7322988,2678,
6/30/2017,7322988,1790,
