Date,SID,BTpop
6/1/2017,7322985,2146
6/2/2017,7412825,1166
6/3/2017,7412825,504
6/4/2017,7412825,542
6/5/2017,7412825,949
6/6/2017,7412825,1526
6/7/2017,7412825,926
6/8/2017,7412825,1890
6/9/2017,7412825,1192
6/10/2017,7412825,555
6/11/2017,7412825,668
6/12/2017,7412825,1159
6/13/2017,7412825,1074
6/14/2017,7412825,1233
6/15/2017,7412825,1785
6/16/2017,7412825,1078
6/17/2017,7412825,547
6/18/2017,7412825,557
6/19/2017,7412825,1009
6/20/2017,7412825,992
6/21/2017,7412825,1042
6/22/2017,7412825,1186
6/23/2017,7412825,773
6/24/2017,7412825,354
6/25/2017,7412825,393
6/26/2017,7412825,741
6/27/2017,7412825,725
6/28/2017,7412825,1036
6/29/2017,7412825,1610
6/30/2017,7412825,1019
