Date,SID,BTpop
6/1/2017,7322982,928
6/2/2017,7322982,721
6/3/2017,7322982,387
6/4/2017,7322982,490
6/5/2017,7322982,775
6/6/2017,7322982,927
6/7/2017,7322982,727
6/8/2017,7322982,1045
6/9/2017,7322982,711
6/10/2017,7322982,368
6/11/2017,7322982,387
6/12/2017,7322982,787
6/13/2017,7322982,818
6/14/2017,7322982,828
6/15/2017,7322982,1056
6/16/2017,7322982,819
6/17/2017,7322982,447
6/18/2017,7322982,484
6/19/2017,7322982,819
6/20/2017,7322982,801
6/21/2017,7322982,803
6/22/2017,7322982,828
6/23/2017,7322982,601
6/24/2017,7322982,325
6/25/2017,7322982,377
6/26/2017,7322982,649
6/27/2017,7322982,682
6/28/2017,7322982,985
6/29/2017,7322982,1307
6/30/2017,7322982,809
