Date,SID,BTpop
6/1/2017,7412893,2483
6/2/2017,7412893,2483
6/3/2017,7412893,2483
6/4/2017,7412893,2483
6/5/2017,7412893,2483
6/6/2017,7412893,2483
6/7/2017,7412893,2483
6/8/2017,7412893,2483
6/9/2017,7412893,2483
6/10/2017,7412893,2483
6/11/2017,7412893,2483
6/12/2017,7412893,2483
6/13/2017,7412893,2483
6/14/2017,7412893,4170
6/15/2017,7412893,4392
6/16/2017,7412893,2959
6/17/2017,7412893,1460
6/18/2017,7412893,1436
6/19/2017,7412893,2999
6/20/2017,7412893,2902
6/21/2017,7412893,3043
6/22/2017,7412893,3453
6/23/2017,7412893,2427
6/24/2017,7412893,1159
6/25/2017,7412893,1227
6/26/2017,7412893,2442
6/27/2017,7412893,2378
6/28/2017,7412893,3115
6/29/2017,7412893,4064
6/30/2017,7412893,2417
