Date,SID,BTpop
6/1/2017,7412914,2645
6/2/2017,7412914,2645
6/3/2017,7412914,2645
6/4/2017,7412914,2645
6/5/2017,7412914,2645
6/6/2017,7412914,2645
6/7/2017,7412914,2645
6/8/2017,7412914,2645
6/9/2017,7412914,2645
6/10/2017,7412914,2645
6/11/2017,7412914,2645
6/12/2017,7412914,2645
6/13/2017,7412914,2645
6/14/2017,7412914,3373
6/15/2017,7412914,4308
6/16/2017,7412914,2865
6/17/2017,7412914,1492
6/18/2017,7412914,1416
6/19/2017,7412914,2723
6/20/2017,7412914,2633
6/21/2017,7412914,3207
6/22/2017,7412914,4246
6/23/2017,7412914,2743
6/24/2017,7412914,1235
6/25/2017,7412914,1421
6/26/2017,7412914,2627
6/27/2017,7412914,2743
6/28/2017,7412914,3208
6/29/2017,7412914,3653
6/30/2017,7412914,2295
