Date,SID,BTpop
6/1/2017,7412806,3400
6/2/2017,7412806,3400
6/3/2017,7412806,3400
6/4/2017,7412806,3400
6/5/2017,7412806,3400
6/6/2017,7412806,3400
6/7/2017,7412806,3400
6/8/2017,7412806,3400
6/9/2017,7412806,3400
6/10/2017,7412806,3400
6/11/2017,7412806,3400
6/12/2017,7412806,3400
6/13/2017,7412806,3400
6/14/2017,7412806,4119
6/15/2017,7412806,4699
6/16/2017,7412806,3785
6/17/2017,7412806,2049
6/18/2017,7412806,2077
6/19/2017,7412806,4026
6/20/2017,7412806,4018
6/21/2017,7412806,4051
6/22/2017,7412806,4075
6/23/2017,7412806,3400
6/24/2017,7412806,1761
6/25/2017,7412806,2032
6/26/2017,7412806,3693
6/27/2017,7412806,3820
6/28/2017,7412806,5028
6/29/2017,7412806,6776
6/30/2017,7412806,4266
