Date,SID,BTpop
6/1/2017,7412840,7405
6/2/2017,7412840,7405
6/3/2017,7412840,7405
6/4/2017,7412840,7405
6/5/2017,7412840,7405
6/6/2017,7412840,7405
6/7/2017,7412840,7405
6/8/2017,7412840,7405
6/9/2017,7412840,7405
6/10/2017,7412840,7405
6/11/2017,7412840,7405
6/12/2017,7412840,7405
6/13/2017,7412840,7405
6/14/2017,7412840,8816
6/15/2017,7412840,9749
6/16/2017,7412840,7971
6/17/2017,7412840,4352
6/18/2017,7412840,4373
6/19/2017,7412840,8767
6/20/2017,7412840,9511
6/21/2017,7412840,9236
6/22/2017,7412840,9509
6/23/2017,7412840,7537
6/24/2017,7412840,3383
6/25/2017,7412840,3993
6/26/2017,7412840,8127
6/27/2017,7412840,8339
6/28/2017,7412840,8625
6/29/2017,7412840,8811
6/30/2017,7412840,6990
