Date,SID,BTpop
6/1/2017,7412846,5049
6/2/2017,7412846,5049
6/3/2017,7412846,5049
6/4/2017,7412846,5049
6/5/2017,7412846,5049
6/6/2017,7412846,5049
6/7/2017,7412846,5049
6/8/2017,7412846,5049
6/9/2017,7412846,5049
6/10/2017,7412846,5049
6/11/2017,7412846,5049
6/12/2017,7412846,5049
6/13/2017,7412846,5049
6/14/2017,7412846,5747
6/15/2017,7412846,6805
6/16/2017,7412846,5424
6/17/2017,7412846,3158
6/18/2017,7412846,3352
6/19/2017,7412846,5927
6/20/2017,7412846,6218
6/21/2017,7412846,5795
6/22/2017,7412846,6250
6/23/2017,7412846,5066
6/24/2017,7412846,2560
6/25/2017,7412846,3204
6/26/2017,7412846,5582
6/27/2017,7412846,5597
6/28/2017,7412846,5767
6/29/2017,7412846,5977
6/30/2017,7412846,4764
