Date,SID,BTpop
6/1/2017,7412816,3504
6/2/2017,7412816,3504
6/3/2017,7412816,3504
6/4/2017,7412816,3504
6/5/2017,7412816,3504
6/6/2017,7412816,3504
6/7/2017,7412816,3504
6/8/2017,7412816,3504
6/9/2017,7412816,3504
6/10/2017,7412816,3504
6/11/2017,7412816,3504
6/12/2017,7412816,3504
6/13/2017,7412816,3504
6/14/2017,7412816,4942
6/15/2017,7412816,5979
6/16/2017,7412816,3967
6/17/2017,7412816,1987
6/18/2017,7412816,1923
6/19/2017,7412816,3804
6/20/2017,7412816,3841
6/21/2017,7412816,4032
6/22/2017,7412816,4818
6/23/2017,7412816,3428
6/24/2017,7412816,1683
6/25/2017,7412816,1851
6/26/2017,7412816,3413
6/27/2017,7412816,3389
6/28/2017,7412816,3566
6/29/2017,7412816,3772
6/30/2017,7412816,2517
