Date,SID,BTpop
6/1/2017,7412794,12319
6/2/2017,7412794,12319
6/3/2017,7412794,12319
6/4/2017,7412794,12319
6/5/2017,7412794,12319
6/6/2017,7412794,12319
6/7/2017,7412794,12319
6/8/2017,7412794,12319
6/9/2017,7412794,12319
6/10/2017,7412794,12319
6/11/2017,7412794,12319
6/12/2017,7412794,12319
6/13/2017,7412794,12319
6/14/2017,7412794,15308
6/15/2017,7412794,21149
6/16/2017,7412794,14530
6/17/2017,7412794,7826
6/18/2017,7412794,7140
6/19/2017,7412794,12753
6/20/2017,7412794,12697
6/21/2017,7412794,14699
6/22/2017,7412794,18520
6/23/2017,7412794,11697
6/24/2017,7412794,5793
6/25/2017,7412794,6711
6/26/2017,7412794,11524
6/27/2017,7412794,12114
6/28/2017,7412794,15360
6/29/2017,7412794,19821
6/30/2017,7412794,12582
