Date,SID,BTpop
6/1/2017,7412873,3085
6/2/2017,7412873,3085
6/3/2017,7412873,3085
6/4/2017,7412873,3085
6/5/2017,7412873,3085
6/6/2017,7412873,3085
6/7/2017,7412873,3085
6/8/2017,7412873,3085
6/9/2017,7412873,3085
6/10/2017,7412873,3085
6/11/2017,7412873,3085
6/12/2017,7412873,3085
6/13/2017,7412873,3085
6/14/2017,7412873,4284
6/15/2017,7412873,4150
6/16/2017,7412873,3369
6/17/2017,7412873,1976
6/18/2017,7412873,1898
6/19/2017,7412873,3490
6/20/2017,7412873,3834
6/21/2017,7412873,3460
6/22/2017,7412873,3686
6/23/2017,7412873,3041
6/24/2017,7412873,1501
6/25/2017,7412873,1863
6/26/2017,7412873,3323
6/27/2017,7412873,3320
6/28/2017,7412873,3392
6/29/2017,7412873,3461
6/30/2017,7412873,2804
