Date,SID,BTpop
6/1/2017,7412855,1054
6/2/2017,7412855,1054
6/3/2017,7412855,1054
6/4/2017,7412855,1054
6/5/2017,7412855,1054
6/6/2017,7412855,1054
6/7/2017,7412855,1054
6/8/2017,7412855,1054
6/9/2017,7412855,1054
6/10/2017,7412855,1054
6/11/2017,7412855,1054
6/12/2017,7412855,1054
6/13/2017,7412855,1054
6/14/2017,7412855,1398
6/15/2017,7412855,1439
6/16/2017,7412855,1141
6/17/2017,7412855,617
6/18/2017,7412855,707
6/19/2017,7412855,1218
6/20/2017,7412855,1232
6/21/2017,7412855,1212
6/22/2017,7412855,1295
6/23/2017,7412855,1079
6/24/2017,7412855,500
6/25/2017,7412855,619
6/26/2017,7412855,1077
6/27/2017,7412855,1224
6/28/2017,7412855,1229
6/29/2017,7412855,1226
6/30/2017,7412855,980
