Date,SID,BTpop
6/1/2017,7412852,2240
6/2/2017,7412852,2240
6/3/2017,7412852,2240
6/4/2017,7412852,2240
6/5/2017,7412852,2240
6/6/2017,7412852,2240
6/7/2017,7412852,2240
6/8/2017,7412852,2240
6/9/2017,7412852,2240
6/10/2017,7412852,2240
6/11/2017,7412852,2240
6/12/2017,7412852,2240
6/13/2017,7412852,2240
6/14/2017,7412852,2608
6/15/2017,7412852,2978
6/16/2017,7412852,2574
6/17/2017,7412852,1619
6/18/2017,7412852,1563
6/19/2017,7412852,2495
6/20/2017,7412852,2593
6/21/2017,7412852,2454
6/22/2017,7412852,2604
6/23/2017,7412852,2108
6/24/2017,7412852,1088
6/25/2017,7412852,1500
6/26/2017,7412852,2468
6/27/2017,7412852,2712
6/28/2017,7412852,2905
6/29/2017,7412852,2991
6/30/2017,7412852,2354
